gene_id,Groups,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FJ,TCGA.BH.A1FM,TCGA.BH.A204,TCGA.BH.A1F0,TCGA.BH.A1F6,TCGA.BH.A1FB,TCGA.BH.A1FC,TCGA.BH.A203,TCGA.BH.A208,TCGA.BH.A209
,,1,1,1,1,1,1,2,2,2,2,2,2,2
Clinical,,Early,Early,Early,Early,Early,Late,Early,Late,Late,Late,Early,Early,Late
Subtype,,LumB,LumB,LumB,LumB,LumB,LumB,Basal,Basal,LumA,Basal,Her2,Her2,LumB
ENSG00000157456.6,na,3.147290515,3.446407819,4.038268221,4.275968197,4.054926905,3.87618382,3.661918895,4.010051304,1.802404546,4.685380103,4.240550479,2.005951013,4.680151241
ENSG00000165949.11,na,3.12834574,3.736746262,5.442003762,5.404656338,2.66121142,2.004773156,6.175634107,5.691147462,3.77479398,6.046601188,3.51534073,4.510070249,7.329945179
ENSG00000114737.14,na,5.249901073,4.354425291,4.782335606,2.760264924,3.817692088,3.53112668,2.063974816,2.289410013,3.371059928,1.799910746,1.881008338,1.973437509,4.243930161
ENSG00000180596.7,na,1.062367662,3.333730025,4.066697641,4.770288961,3.846334952,2.01380561,2.001409991,2.029820046,2.714818654,2.250339053,4.571533747,1.262992006,0.998202535
ENSG00000162772.15,na,3.352150343,5.167445959,4.362289604,1.700601828,1.78184011,2.405803439,4.853644523,4.290919263,5.621781883,3.592094077,2.663215086,3.183369696,3.407774895
ENSG00000132561.12,na,2.42120014,2.472309628,4.352318632,0.506902984,1.01868677,0.939206202,2.591818093,1.030420625,3.530119207,0.603842606,1.689927639,2.086924386,5.288739172
ENSG00000115380.17,na,2.795781265,5.407201995,3.124686806,2.063296545,7.01028989,3.712977413,6.083447177,4.608934409,5.457668754,1.447478642,3.49832342,5.555359498,5.73059738
ENSG00000137975.7,na,0.072297504,5.033737353,0.064036799,3.122083056,0.087995764,0.003288334,0.388516336,0.264199894,2.461391474,0.004850252,5.332744265,3.412690292,0.090531936
ENSG00000131171.11,na,4.293996079,6.669274522,6.985614704,8.485925647,7.393595058,4.652367704,6.091434713,5.016298668,8.052591602,5.023407758,8.782139141,6.514448927,5.549818158
ENSG00000117226.10,na,3.018176819,3.566441267,4.343815333,4.90658094,4.158379044,2.839949313,3.758367736,2.469840836,4.093297815,2.120145013,2.00565703,0.813877657,3.762503473
ENSG00000049540.15,na,3.965927719,4.145483706,3.256877758,1.959135434,2.17536106,1.920964195,3.612098892,1.472108223,4.570222681,1.11070219,3.096615674,6.011900423,1.977296673
ENSG00000153563.14,na,1.0883223,0.7920575,0.546415043,0.901891488,0.503574496,1.501943906,3.399587715,2.767229279,3.275504975,3.604778574,2.100638144,1.446140058,4.299813107
ENSG00000163040.13,na,3.155609381,2.818054011,3.073600171,3.613257763,0.954799031,1.751593005,0.737330495,0.574747012,2.295463584,2.416833421,1.075151594,1.374430428,3.416120563
ENSG00000144802.10,na,1.140897299,4.17125965,1.006891404,3.179027138,4.73056643,0.99839881,2.86777356,1.758204845,3.168556579,2.330606927,4.404827128,1.589498748,1.521059826
ENSG00000115267.5,na,1.453410343,3.541229564,4.640509244,4.432313341,2.343566753,1.750806598,6.088560631,5.1745503,3.489511002,4.056201472,2.847111143,2.184415668,5.487623537
ENSG00000120738.7,na,5.613032273,8.691892551,5.713359138,5.313035664,4.508977415,5.152885735,7.467759069,5.963598087,8.431751511,3.966623494,5.632911628,7.055335389,4.03860894
ENSG00000113763.9,na,0.652682668,1.415937651,1.797662223,2.565116173,0.360163346,2.601333604,0.260812981,1.078340786,1.11415784,0.009994424,1.736197,0.428269306,2.597294571
ENSG00000113296.13,na,6.031636557,4.181473638,5.323557013,2.231682077,1.596027096,3.300327952,2.353953602,1.546896916,3.234831711,0.113963325,1.270259486,3.726089491,2.360089646
ENSG00000126353.3,na,1.513818831,0.352734919,0.63530838,0.509132275,0.091223915,0.135109626,3.414934696,1.882908207,3.215058954,2.482356432,2.041737549,0.398917624,4.156124874
ENSG00000129988.5,na,0.265412675,2.350780968,0.068410346,0.089625786,0.607534184,0.044590479,2.780814825,2.187818781,1.095723548,0.774269713,3.123239795,0.022428763,2.287396123
ENSG00000171848.12,na,2.298714085,4.483420627,3.895154833,4.632207614,5.011158344,4.512825846,3.56956218,4.728251138,1.844251288,5.042599347,4.254120368,2.720953874,3.708374847
ENSG00000126562.15,na,4.860707884,0.887929545,1.517639522,0.058196628,0.316900067,2.214402811,1.318123871,0.285135964,3.005005226,0.075263323,0.145976671,0.152759079,1.350658912
ENSG00000133392.15,na,1.603489302,2.252705034,0.528550798,1.186620294,0.921711869,2.305114802,3.102058496,0.711320172,3.765837895,0.170816977,1.244709353,3.03144503,0.774339364
ENSG00000141682.11,na,3.978267942,4.87585598,4.123854333,4.564961116,1.937336773,3.503024894,1.998342316,3.034579684,2.953737279,3.601347168,1.228887211,1.196750154,1.736652792
ENSG00000224041.3,na,0.222435321,0.047865885,0.048729114,0.098328357,0.293359144,0,3.126847927,1.861062662,1.701584418,3.95333341,3.381587306,2.204088299,6.254542377
ENSG00000117983.16,na,2.667158612,2.069161923,0.361254981,1.874098914,0.088435859,1.056279281,1.014295848,3.26349393,0.398084251,2.088535413,1.069025914,0.068650703,0.007509439
ENSG00000099812.7,na,2.76349359,3.827038826,1.528304779,3.924729366,2.70544185,3.817096206,1.136949328,3.161756776,3.415812541,1.871324222,0.963248359,1.751134479,3.020166291
ENSG00000150593.14,na,3.906451479,4.442023794,6.158842136,4.071884522,4.01674179,5.910956698,5.348431687,5.07582985,6.465280209,4.603207448,4.493726041,4.386583627,6.328502247
