gene_id,Groups,TCGA.BH.A1EV,TCGA.BH.A1F8,TCGA.BH.A1F0,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FH,TCGA.BH.A203,TCGA.BH.A1EU,TCGA.BH.A1FM,TCGA.BH.A1FR,TCGA.BH.A1EW,TCGA.BH.A208,TCGA.BH.A1FJ,TCGA.BH.A1EN,TCGA.BH.A1FN,TCGA.BH.A1FE,TCGA.BH.A1ET,TCGA.BH.A204,TCGA.BH.A1EO,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A1FB,TCGA.BH.A1FG,TCGA.BH.A209
 , ,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Late,Late,Late,Late,Late,Late,Late,Late
ENSG00000184564.8,na,2.951751887,0.67689174,1.572694439,2.444931087,0.090811775,2.356390172,2.986620717,1.536204997,1.483558457,0.611009793,4.566349511,4.15567717,1.050246814,6.655979696,0.430725234,6.734327288,1.68867304,0.239389825,0.027164987,3.273677567,0.090021379,0.144297721,2.816093158,0.987932977,1.385130265
ENSG00000258484.3,na,0.030372656,0.165413172,0.483074917,2.943514165,0.540295561,0.228152616,1.153202688,0.256997141,2.33405757,3.84628085,0.296077033,0.310454533,1.270475485,3.13181921,0.099494146,0.736877137,1.751605231,2.638356495,0.518897269,1.781545936,2.955120047,0.093210174,1.639348447,3.448413976,2.967018261
ENSG00000211639.2,na,0.552533569,0.804141146,5.463458341,0,0,0.460269785,3.562678477,4.072471128,0.607831668,0,2.551708889,0.767371784,2.586795457,1.134833414,0,0.087074082,3.112418473,1.312545409,0,0.450226057,1.413602359,2.911639189,0.206654787,1.18000145,1.635345466
ENSG00000134240.10,na,4.253172387,0.682845979,0,1.081965764,3.413345962,3.029349878,2.740114507,0.352763019,4.336907043,0.024838293,1.615251236,2.820919544,6.128097602,2.668084559,2.612478056,0.178104687,0.758373002,7.965074251,2.620038892,3.4868012,0,0,1.683399478,0.976979096,0.942759822
ENSG00000249242.6,na,3.156983549,3.498745116,2.956846847,8.81373928,5.467011835,2.249128954,3.550282012,4.700718595,4.633074522,3.286395726,1.608656688,4.679764479,2.54434657,4.051894996,3.800052933,1.709259019,4.600465144,5.823994129,2.411599221,1.876813129,1.181764173,1.482393308,3.009087071,1.861427643,2.554862249
ENSG00000211973.2,na,0.691568607,4.217730607,6.955318826,0.16371852,0.440069912,0.375371064,2.023863249,2.794377482,2.126984155,0.239533953,2.116535799,3.063391238,2.318966184,0.7172414,0,0.577220148,2.662874933,1.688849912,0.349270747,0.089987819,5.929434514,7.042909795,0.936139967,1.58586771,3.720573206
ENSG00000211964.3,na,1.504824898,1.280391946,7.828244083,0.909700211,0.086575674,0.812106896,2.6036234,2.623095349,3.525373594,0.31167681,1.326125924,2.692340932,4.374093267,0.905225731,0.04657012,0.502903297,1.49709809,2.390135591,0,1.031032138,3.26014907,8.48789932,4.106729075,1.067655259,7.272194928
ENSG00000139629.14,na,6.353220986,5.674102788,2.881092601,4.825314014,4.893968223,5.369323743,4.302038376,5.518288752,5.658259555,4.098125263,3.117325549,6.292979975,2.959572983,5.439430913,4.710040685,4.77427896,5.660726558,5.847372089,4.96419085,5.046566169,2.467663345,2.353108456,4.76072627,1.229614763,3.159893268
ENSG00000171385.8,na,0.583455925,0.410095854,1.029643525,3.202995994,0.751019363,1.824378843,1.881277385,1.032474692,4.251434993,0.277369836,4.186373448,2.130314936,0.493990565,3.531148673,0.247869149,0.921159775,1.368093314,4.554913696,2.892838787,0.672229939,0.267005335,0.075759611,1.99843704,3.419369306,0.533958186
ENSG00000120262.9,na,3.184709921,0.81904218,0.892689934,3.720820142,2.358736335,4.417988828,2.879072778,0.323562028,2.955885265,2.137489419,3.278055308,2.361147187,0.746350419,3.34029883,0.347091715,0.746251,1.73941332,3.479113266,3.185746423,1.580905042,0.334336437,0.417142921,3.028663709,3.50206577,2.383130209
