gene_id,Groups,TCGA.AC.A2FM,TCGA.BH.A1EN,TCGA.BH.A1EO,TCGA.BH.A1ET,TCGA.BH.A1EV,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FG,TCGA.BH.A1FJ,TCGA.BH.A1FM,TCGA.BH.A1FN,TCGA.BH.A204,TCGA.BH.A1F0,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A208,TCGA.BH.A209
,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
,,Early,Early,Late,Late,Early,Early,Early,Late,Early,Early,Early,Late,Early,Late,Late,Early,Late
,,LumB,Her2,LumB,LumA,Her2,LumB,LumB,LumA,LumB,LumB,LumB,LumB,Basal,Basal,Basal,Her2,LumB
ENSG00000078589.11>P2RY10,na,0.350044086,0.230117669,1.031536785,1.166211615,0.325356779,0.227017981,0.531233754,0.287179051,0.414744732,0.260749959,0.321721575,0.423751996,2.64352372,1.27877533,2.238816599,0.697767911,2.824345946
ENSG00000134363.10>FST,na,0.632547205,0.713384158,3.178868651,3.215696178,3.603801513,3.823845005,2.613079462,1.326134334,2.366841134,1.968021338,1.629286629,0.90896687,2.997833517,1.433565849,1.139800544,3.857946128,1.263644834
ENSG00000172543.6>CTSW,na,0.91322864,0.723621978,1.149670314,1.343598376,0.426483846,0.552160396,0.489138934,0.924026307,0.458078031,0.456570195,0.531517563,0.11577302,3.023944983,2.442060282,3.215398515,1.317563405,3.19323866
ENSG00000196517.10>SLC6A9,na,1.711257246,1.44636125,2.024507005,3.558900769,4.223846024,1.691313901,3.336290301,6.417167074,2.962969224,1.087495351,2.378391048,1.135642703,2.752659479,3.960952425,4.162962489,2.78887356,1.966428673
ENSG00000226835.1>RP11-148B18.3,na,0.566912716,0,0.288031817,2.740475584,0.91061511,3.181263406,2.519298507,1.425707854,1.866950338,2.605211687,2.145718219,0.907910023,0.031296116,0.195097253,0,0.045449914,3.311189462
ENSG00000246082.2>NUDT16P1,na,1.788906301,2.543595459,1.34305192,2.579910166,1.610312118,2.286020607,2.545150461,2.358649318,0.374042898,2.368697024,0.699044228,0.235725342,1.805288585,0.475928746,0.357941874,0.406631202,2.379619417
ENSG00000197629.5>MPEG1,na,2.3842154,2.644974297,3.626222448,2.953362761,2.148653032,3.022822611,2.792036709,2.2420615,1.859308595,2.226111231,1.948426894,2.016644143,5.376060332,3.734905402,3.331030755,2.75148323,4.570930357
ENSG00000094963.12>FMO2,na,1.34454979,0.327018252,1.428446764,1.88921211,0.578014314,2.90866549,0.234645684,0.675665681,0.264784204,0.115683413,0.337440949,2.01453304,2.596870097,3.06926881,1.515468918,2.875870744,0.405411313
ENSG00000179023.8>KLHDC7A,na,2.170812714,1.11082376,2.470038422,2.806063423,3.838378005,0.766426352,0.286243399,0.44905109,4.287490401,0.346988936,0.316297025,0.271882008,0.049325209,0.069748346,0.00423933,0.04662341,0.007755027
ENSG00000167700.7>MFSD3,na,5.405338929,4.227514225,4.284483473,3.072497216,2.638392933,2.400413002,2.713580613,4.941002972,2.11261022,2.996376985,2.061769963,4.299789848,3.148965476,4.919743147,4.488823632,2.050767542,4.320231016
ENSG00000083782.6>EPYC,na,0,2.190521563,3.424918132,0.94691941,1.93599852,2.885011181,3.32068741,0.95550958,0.495761033,2.778681652,0.377904587,0.471452222,0.375644814,1.073038325,2.341496218,2.099380106,0.411763687
ENSG00000136883.11>KIF12,na,7.576571837,1.710329619,1.975427515,3.138501637,3.508429157,1.370224705,3.380630943,4.692009758,4.217133853,0.786896518,0.800645591,2.319029876,1.746948323,1.596832592,2.681456265,0.114528577,0.427484848
ENSG00000214263.2>RPSAP53,na,0.027360057,1.930348292,0,0.017520218,0.941920049,0.065562309,0.022590554,1.208637668,2.067510877,0.697362168,0.143403238,0.050614022,2.702077989,0.038263774,0,0,0.045680978
ENSG00000230076.1>AC016708.2,na,1.027119969,1.139679826,5.084810531,5.235090402,0.277974405,1.005917341,5.984815787,1.07361198,0.767791764,0.88158473,0.993860448,0.367774644,0.732948269,0.662522831,5.913543272,0.786295873,2.718314627
ENSG00000065618.15>COL17A1,na,1.408135194,1.908678953,0.600089897,2.33109415,0.424117924,0.131758979,0.056893188,0.878942931,0.78732419,0.093780368,0.880594843,0.076261687,3.528703023,1.408642491,0.030273183,3.234247366,0.319774671
ENSG00000016391.9>CHDH,na,3.799421312,2.529439667,1.744841899,3.539582441,1.512507071,1.377386356,3.938110395,1.987302556,3.443249557,0.905225965,1.300478276,2.87572773,2.382480079,2.876376943,3.72135669,1.25108202,3.419931218
ENSG00000144452.13>ABCA12,na,0.226523347,3.365877928,0.059690522,1.780791478,3.441702168,3.019331683,1.317561286,0.559394974,2.943637175,2.27616109,0.825832524,0.292136254,0.160121624,0.288590537,0.045665986,0.371473485,0.441298505
ENSG00000254726.2>MEX3A,na,2.694500866,2.043316307,2.267450273,1.49634129,2.971560204,1.72306953,2.937723701,0.45587557,3.045106044,1.310324903,5.1166057,2.523416615,3.663466781,3.127698059,5.724918188,2.034059135,3.689061732
ENSG00000146072.6>TNFRSF21,na,1.927856742,5.465824931,3.447050505,2.170216746,3.529739899,2.87347825,4.827861845,1.505704357,2.41030634,3.483333357,4.388212936,2.618838068,4.860061837,4.057225394,4.844445551,5.171044442,5.105321265
ENSG00000028137.15>TNFRSF1B,na,2.851672677,2.604167537,3.246647693,3.039776944,2.000330992,2.280778149,2.98110061,2.222284925,2.238606367,1.352219217,2.690177285,1.816652663,5.153256107,4.196620575,4.47636319,3.100845003,4.714813228
ENSG00000187123.13>LYPD6,na,2.537812975,2.417413857,0.792717105,2.697037472,0.346954839,2.33715803,0.116086998,0.662352854,3.918726046,0.459991307,3.015781091,1.956926556,0.199742762,0.215509794,0.848160827,0.751654152,0.325904814
ENSG00000116039.10>ATP6V1B1,na,1.104889301,0.285726425,3.274363866,1.107840462,0.34191323,0.930829621,3.023734958,2.598066603,1.92216801,2.133635896,1.273615154,4.603530498,1.837958561,2.072088871,0.118499579,1.698992482,0.702353031
ENSG00000074211.12>PPP2R2C,na,4.564018047,1.635912174,0.049065661,0.591918966,0.321671596,2.09840613,3.089980365,2.881304754,0.536985451,1.953060338,1.827370334,0.020769089,0.084953955,3.01847484,0.016528571,1.007528065,0.767624816
ENSG00000138642.13>HERC6,na,0.897785626,0.894304752,1.735474887,1.04132109,1.010642585,3.768735384,2.351217785,2.330177578,3.433877973,2.34763404,3.398919314,0.717776211,5.195065053,3.258006225,2.718105757,1.637333131,3.001457655
ENSG00000050628.19>PTGER3,na,0.928052061,0.561393546,3.648167377,0.948290802,0.367936082,3.386488669,2.850715911,4.389151812,1.570687596,2.170335087,3.182614351,2.162368011,1.72856411,0.737452422,0.310317092,1.92274002,2.544697616
